sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
ISPH,ENERGY,buy,BEAR,2020-03-30,5.35,5.21,5.86,2,False,27.02,2020-04-01,5.21,-3.19,1.0,LOSS
HRHO,SERVICES,buy,BULL,2020-04-08,6.05,5.9,6.62,1,False,45.4,2020-04-09,6.62,8.85,3.8,WIN
HRHO,SERVICES,buy,BULL,2020-04-09,6.26,6.01,6.86,1,False,40.82,2020-04-12,6.01,-4.57,1.0,LOSS
FWRY,SERVICES,early,BEAR,2020-03-31,1.99,1.91,2.18,10,False,20.91,2020-04-14,2.18,8.97,2.38,WIN
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,7.05,2,False,28.52,2020-04-15,6.17,-4.62,1.0,LOSS
HELI,REAL_ESTATE,buy,NEUTRAL,2020-04-15,3.94,3.78,4.31,2,False,33.31,2020-04-21,3.78,-4.64,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-16,6.28,6.02,6.88,1,False,27.48,2020-04-21,6.02,-4.72,1.0,LOSS
JUFO,SERVICES,buy,NEUTRAL,2020-04-21,6.08,5.83,6.66,3,False,24.5,2020-04-26,6.66,8.96,2.32,WIN
ESRS,INDUSTRIAL,buy,NEUTRAL,2020-04-22,5.41,5.19,5.92,2,False,22.91,2020-04-26,5.92,8.85,2.32,WIN
SWDY,ENERGY,early,BULL,2020-04-07,7.46,7.16,8.18,13,False,32.25,2020-04-28,8.18,9.08,2.4,WIN
HELI,REAL_ESTATE,buy,NEUTRAL,2020-04-21,4.03,3.86,4.41,6,False,24.48,2020-04-29,4.41,8.85,2.24,WIN
ABUK,ENERGY,ultra,BULL,2020-04-28,8.75,8.49,9.59,1,False,29.85,2020-04-29,8.49,-3.55,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-26,6.14,5.89,6.73,5,False,30.35,2020-05-03,5.89,-4.65,1.0,LOSS
ABUK,ENERGY,ultra,NEUTRAL,2020-04-29,8.53,8.27,9.34,2,False,34.38,2020-05-03,8.27,-3.62,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-04-29,4.35,4.17,4.76,2,False,32.8,2020-05-03,4.17,-4.71,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2020-04-23,5.3,5.09,5.81,9,False,25.38,2020-05-06,5.81,9.05,2.43,WIN
OCDI,REAL_ESTATE,early,NEUTRAL,2020-05-03,9.5,9.12,10.41,4,False,27.61,2020-05-07,9.12,-4.57,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-05-03,7.6,7.3,8.33,4,False,27.3,2020-05-07,7.3,-4.52,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-05-04,6.02,5.78,6.59,4,False,24.1,2020-05-10,5.78,-4.56,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2020-04-26,7.29,7.07,7.99,12,False,24.98,2020-05-12,7.99,9.03,3.18,WIN
JUFO,SERVICES,buy,NEUTRAL,2020-05-10,6.57,6.37,7.2,2,False,20.55,2020-05-12,7.2,9.01,3.15,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-05-11,7.39,7.17,8.1,2,False,25.0,2020-05-13,7.17,-3.55,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-12,6.85,6.64,7.51,2,False,29.24,2020-05-14,6.64,-3.64,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-05-19,6.23,6.04,6.82,2,False,22.69,2020-05-21,6.04,-3.62,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-05-06,5.77,5.6,6.32,15,False,20.18,2020-06-03,5.906665325164795,1.79,0.8,EXIT
HELI,REAL_ESTATE,ultra,NEUTRAL,2020-05-18,4.1,3.97,4.49,9,False,31.7,2020-06-07,4.49,8.94,3.0,WIN
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-06-03,4.8,4.65,5.26,2,False,25.45,2020-06-07,5.26,9.01,3.07,WIN
JUFO,SERVICES,early,NEUTRAL,2020-05-14,6.6,6.41,7.24,12,False,28.27,2020-06-08,6.41,-3.45,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-06-08,3.87,3.71,4.24,3,False,33.87,2020-06-11,3.71,-4.71,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2020-06-07,7.22,7.0,7.91,5,False,29.18,2020-06-14,7.0,-3.62,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2020-06-07,5.11,4.95,5.59,5,False,33.69,2020-06-14,4.95,-3.71,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-11,5.24,5.03,5.74,1,False,27.93,2020-06-14,5.03,-4.58,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-14,4.54,4.36,4.98,2,False,24.88,2020-06-16,4.98,9.12,2.44,WIN
SAUD,BANKS,buy,NEUTRAL,2020-05-20,2.43,2.36,2.66,15,False,25.17,2020-06-17,2.421450138092041,-0.93,0.12,EXIT
ETEL,SERVICES,buy,NEUTRAL,2020-06-01,8.46,8.21,9.27,15,False,25.0,2020-06-22,8.821311950683594,3.7,1.45,EXIT
HRHO,SERVICES,early,NEUTRAL,2020-06-14,6.75,6.48,7.4,7,False,24.67,2020-06-23,7.4,9.05,2.41,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-22,4.72,4.53,5.17,1,False,20.66,2020-06-23,5.17,8.96,2.37,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-23,7.29,6.99,7.98,2,False,24.79,2020-06-25,7.98,8.89,2.3,WIN
JUFO,SERVICES,buy,NEUTRAL,2020-06-16,6.5,6.31,7.13,11,False,23.72,2020-07-05,7.13,9.12,3.32,WIN
ORWE,SERVICES,buy,NEUTRAL,2020-06-17,3.13,3.04,3.43,11,False,23.26,2020-07-06,3.43,9.01,3.33,WIN
ESRS,INDUSTRIAL,ultra,NEUTRAL,2020-07-05,5.53,5.36,6.06,2,False,26.06,2020-07-07,5.36,-3.65,1.0,LOSS
OCDI,REAL_ESTATE,ultra,NEUTRAL,2020-07-06,9.35,9.07,10.24,1,False,32.4,2020-07-07,10.24,8.94,3.18,WIN
ABUK,ENERGY,early,NEUTRAL,2020-06-16,7.76,7.45,8.5,15,False,22.53,2020-07-09,8.064038276672363,3.34,0.98,EXIT
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-07,3.7,3.59,4.05,2,False,31.86,2020-07-09,3.59,-3.55,1.0,LOSS
ESRS,INDUSTRIAL,ultra,NEUTRAL,2020-07-07,5.38,5.22,5.9,2,False,25.0,2020-07-09,5.22,-3.55,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-09,10.45,10.13,11.44,2,False,31.68,2020-07-13,10.13,-3.64,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-07-12,8.5,8.16,9.31,2,False,28.8,2020-07-14,8.16,-4.57,1.0,LOSS
ISPH,ENERGY,ultra,NEUTRAL,2020-06-23,5.87,5.69,6.43,14,False,25.0,2020-07-15,5.69,-3.64,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-25,5.14,4.94,5.64,12,False,29.71,2020-07-15,4.94,-4.47,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-09,3.58,3.47,3.93,4,False,30.08,2020-07-15,3.47,-3.65,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-13,10.46,10.04,11.45,2,False,25.41,2020-07-15,10.04,-4.59,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2020-07-14,7.55,7.32,8.27,1,False,24.88,2020-07-15,7.32,-3.62,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-15,9.95,9.55,10.9,1,False,23.51,2020-07-16,9.55,-4.6,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-07-26,8.31,7.97,9.1,2,False,27.56,2020-07-28,7.97,-4.67,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-21,10.99,10.54,12.03,7,False,22.82,2020-08-05,12.03,8.89,2.31,WIN
ORWE,SERVICES,early,NEUTRAL,2020-07-15,3.4,3.26,3.72,13,False,25.55,2020-08-09,3.72,8.84,2.29,WIN
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-26,3.82,3.7,4.18,7,False,31.9,2020-08-09,4.18,8.85,3.0,WIN
TMGH,REAL_ESTATE,ultra,NEUTRAL,2020-08-05,5.64,5.47,6.17,7,False,28.89,2020-08-16,6.17,8.82,3.12,WIN
