Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
KZPC,INDUSTRIAL,10.11,20.0,51,+6.5,-3.5%,2.0x,39%,▫️ LIGHT,🟢 EARLY,0.62,0.32,0.65,0.72,🔴🟢BULL_CONF  🎯 Hunter ⚡,🥇 → ⚠️ WATCH (Weak Sector),⏸️ NEUTRAL,96.2%,27.97,PROBE,📆 Position (wks),10.06,9.76,11.02,1666,⌛ Building,3.2x,🔥 ELITE,⚠️ HIGH,→,0.44,-1.5%,0.7,RSI healthy | Vol confirmed | ✗No clear phase | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=10.11),✅ OK
AMOC,INDUSTRIAL,8.57,29.6,67,+29.1,+17.3%,1.5x,89%,▫️ LIGHT,🟡 MID,0.29,0.19,0.30,0.56,🔵🟢BULL_CONF   ⚡,🥈 → 👁️ WATCH (data quality),📈 BULLISH,96.1%,27.82,PROBE,📅 Swing (3-10d),8.53,8.18,9.34,1428,⌛ Building,2.3x,🔥 ELITE,⚠️ HIGH,→,0.45,7.1%,0.5,Expansion phase | Vol confirmed | ✗RSI neutral (67) | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (61),✅ OK
PHDC,REAL_ESTATE,8.90,22.0,49,-0.5,+9.8%,0.5x,39%,▫️ LIGHT,🟢 EARLY,0.71,0.47,0.70,0.78,🔴🧿👑🟢BULL_CONF,🥉 → 👁️ WATCH (data quality),📈 BULLISH,93.8%,25.87,PROBE,📆 Position (wks),8.86,8.63,9.70,2173,⌛ Building,3.7x,🔥 ELITE,⚠️ HIGH,→,0.41,-3.6%,-0.6,"RSI healthy | Vol confirmed | ✗No clear phase | 🛡️ DataGuard DEGRADED (64) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=8.90)",✅ OK
FWRY,SERVICES,17.90,27.7,47,+0.3,+20.3%,1.5x,50%,▫️ LIGHT,🟢 EARLY,0.38,0.32,0.40,0.56,🔴🟢BULL_CONF  🎯 Hunter,#4 → 👁️ WATCH (data quality),📈 BULLISH,90.5%,24.01,PROBE,📅 Swing (3-10d),17.81,17.09,19.51,694,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.88,-4.5%,1.1,"Vol confirmed | ✗No clear phase | ✗RSI neutral (47) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=17.90)",✅ OK
SKPC,INDUSTRIAL,18.01,24.9,60,+11.4,-3.4%,0.7x,61%,▫️ LIGHT,🟢 EARLY,0.29,0.14,0.30,0.50,🔵🔔🟢BULL_CONF,#5 → 👁️ WATCH (data quality),📈 BULLISH,89.5%,23.57,PROBE,📆 Position (wks),17.92,17.20,19.63,694,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.86,3.4%,-0.5,Expansion phase | RSI healthy | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (62),✅ OK
ADIB,BANKS,38.97,29.6,51,-5.0,+23.1%,1.0x,39%,🧲 BUILDING,🟡 MID,0.76,0.39,0.75,0.83,🔴🧿👑🟢BULL_CONF,#6 → 👁️ WATCH (data quality),📈 BULLISH,87.1%,22.64,PROBE,📅 Swing (3-10d),38.78,37.80,42.48,510,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,2.18,-2.6%,0.0,RSI healthy | Vol confirmed | ✗No clear phase | ✗Weak mom | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
CIEB,BANKS,22.19,37.8,43,-0.4,+3.0%,1.6x,44%,▫️ LIGHT,🟡 MID,0.52,0.33,0.50,0.83,🔴🟢BULL_CONF  🎯 Hunter,#7 → 👁️ WATCH (data quality),📈 BULLISH,82.9%,21.31,PROBE,⚡ Intraday,22.08,21.52,24.19,892,⌛ Building,3.8x,🔥 ELITE,🟡 MED,→,0.95,-3.0%,0.8,"ADX strong (38) | Vol confirmed | ✗No clear phase | ✗RSI neutral (43) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=22.19)",✅ OK
COMI,BANKS,129.50,32.6,50,-2.5,+19.6%,0.7x,39%,🧲 BUILDING,🟡 MID,0.62,0.51,0.60,0.61,🔴🧿👑🔀BEAR_DIV,#8 → 👁️ WATCH (data quality),📈 BULLISH,78.9%,20.27,PROBE,📅 Swing (3-10d),128.85,125.61,141.16,154,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,5.62,-1.5%,-0.5,"ADX strong (33) | RSI healthy | ✗No clear phase | ✗Bear vol div | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=129.50)",✅ OK
JUFO,SERVICES,26.58,30.0,42,-1.5,-2.8%,1.4x,22%,▫️ LIGHT,🔴 LATE,0.52,0.52,0.50,0.83,🔴🔕🟢BULL_CONF  🎯 Hunter,#9 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,18.96,WAIT,📆 Position (wks),26.45,25.05,29.64,1,—,2.3x,—,🟢 LOW,→,1.02,-3.9%,0.6, | ⏳ In LATE zone,✅ OK
SWDY,ENERGY,79.40,24.1,53,+3.6,+2.9%,0.3x,56%,▫️ LIGHT,🟢 EARLY,0.48,0.25,0.50,0.50,🔵🧿👑🔔🟢BULL_CONF,#10 → 👁️ WATCH (data quality),📈 BULLISH,71.7%,18.71,PROBE,📆 Position (wks),79.00,75.83,86.55,157,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,3.39,-0.4%,-0.6,Expansion phase | RSI healthy | 🛡️ DataGuard DEGRADED (63),✅ OK
